-------------------
INSTANCE ATTRIBUTES
-------------------
NAME: egl-s3-A.ocarp
VEHICLES: 17
CAPACITY: 240
NODES: 140
EDGES: 190
REQUIRED_EDGES: 159
<NODE1> <NODE2> <REQ> <COST> <DEMAND>
PATH 8 259.0 3.0 11: 68-67 67-66 66-62 63-64 64-65 64-93 93-63 63-62 62-57 57-58 58-59 
PATH 9 237.0 7.0 11: 60-61 61-59 59-60 60-45 34-35 35-36 36-38 38-41 41-40 40-39 39-38 
PATH 10 245.0 9.0 11: 41-47 47-42 42-37 37-35 36-37 37-43 43-46 46-77 76-77 77-78 78-79 
PATH 11 224.0 36.0 14: 83-81 80-79 79-81 81-80 80-82 82-84 84-83 83-82 82-92 92-89 92-84 84-85 85-86 86-87 
PATH 12 177.0 79.0 5: 120-119 119-117 117-2 117-118 118-114 
PATH 13 254.0 31.0 7: 103-113 113-112 112-110 110-111 110-107 107-106 108-109 
PATH 14 247.0 7.0 12: 102-104 104-105 105-106 106-108 108-107 107-112 113-114 114-115 115-117 117-116 116-115 116-1 
PATH 15 77.0 168.0 3: 125-138 138-136 138-131 
PATH 16 169.0 93.0 6: 130-126 126-127 127-129 129-128 128-127 128-3 
PATH 17 229.0 21.0 10: 4-124 124-126 126-131 131-132 132-133 134-135 135-133 133-134 134-136 136-137 
(Note: subsequent required arcs are traversed through their shortest paths)

TOTAL_COST = 3704.0

