-------------------
INSTANCE ATTRIBUTES
-------------------
NAME: egl-s3-B.ocarp
VEHICLES: 24
CAPACITY: 160
NODES: 140
EDGES: 190
REQUIRED_EDGES: 159
<NODE1> <NODE2> <REQ> <COST> <DEMAND>
PATH 11 141.0 23.0 10: 68-67 69-71 71-70 70-69 69-67 67-66 66-62 62-63 63-64 64-65 
PATH 12 137.0 23.0 9: 55-54 54-140 140-53 53-52 52-51 51-50 50-48 48-49 49-61 
PATH 13 165.0 2.0 7: 49-140 140-55 55-56 56-57 57-62 63-93 93-64 
PATH 14 119.0 52.0 6: 99-97 98-97 97-96 95-96 96-99 99-100 
PATH 15 155.0 12.0 9: 102-104 104-105 105-106 106-107 107-110 111-110 110-112 112-113 113-103 
PATH 16 164.0 6.0 5: 1-116 115-116 116-117 117-118 118-114 
PATH 17 141.0 19.0 2: 109-108 108-106 
PATH 18 180.0 0.0 8: 108-107 107-112 113-114 114-115 115-117 117-2 117-119 119-120 
PATH 19 166.0 4.0 10: 87-86 86-85 85-84 84-83 83-82 82-92 92-89 92-84 84-82 82-80 
PATH 20 130.0 35.0 5: 76-75 75-71 71-72 72-73 74-72 
PATH 21 162.0 7.0 10: 44-73 73-74 74-76 76-77 77-78 78-79 81-79 79-80 80-81 81-83 
PATH 22 159.0 6.0 8: 125-138 136-134 134-133 133-132 132-131 131-138 138-136 136-137 
PATH 23 149.0 23.0 5: 134-135 135-133 131-126 126-124 124-4 
PATH 24 169.0 13.0 6: 130-126 126-127 127-128 128-129 129-127 128-3 
(Note: subsequent required arcs are traversed through their shortest paths)

TOTAL_COST = 3558.0

