-------------------
INSTANCE ATTRIBUTES
-------------------
NAME: egl-s4-C.ocarp
VEHICLES: 37
CAPACITY: 120
NODES: 140
EDGES: 190
REQUIRED_EDGES: 190
<NODE1> <NODE2> <REQ> <COST> <DEMAND>
PATH 13 121.0 9.0 8: 125-138 138-136 136-134 134-133 133-135 135-134 133-132 132-131 
PATH 14 113.0 7.0 3: 130-126 126-124 124-4 
PATH 15 118.0 2.0 5: 124-123 123-122 122-121 121-118 118-117 
PATH 16 126.0 2.0 8: 120-121 122-87 87-86 86-85 85-84 84-92 92-89 89-88 
PATH 17 128.0 1.0 8: 92-82 82-80 80-81 79-81 81-83 83-84 84-82 82-83 
PATH 18 114.0 6.0 8: 80-79 79-78 78-77 77-76 76-74 74-73 73-72 72-74 
PATH 19 110.0 10.0 6: 73-44 44-43 43-42 42-37 37-35 35-36 
PATH 20 96.0 24.0 4: 35-34 34-45 45-60 60-59 
PATH 21 117.0 3.0 4: 60-61 61-59 59-58 58-70 
PATH 22 123.0 1.0 7: 72-71 71-69 69-67 69-70 70-71 71-75 75-76 
PATH 23 118.0 2.0 8: 77-46 46-43 43-37 37-36 36-38 38-39 39-40 40-41 
PATH 24 124.0 0.0 4: 38-41 41-47 47-42 47-46 
PATH 25 116.0 8.0 3: 44-45 34-139 139-48 
PATH 26 110.0 10.0 7: 49-48 48-50 50-51 51-52 52-53 53-140 140-55 
PATH 27 121.0 6.0 6: 56-65 65-64 64-63 63-62 63-93 93-64 
PATH 28 120.0 4.0 5: 93-94 101-66 66-62 62-57 57-58 
PATH 29 118.0 2.0 6: 57-56 56-55 55-54 54-140 140-49 49-61 
PATH 30 106.0 14.0 4: 139-33 33-11 11-27 27-25 
PATH 31 122.0 3.0 5: 24-25 25-26 26-31 31-30 28-27 
PATH 32 90.0 30.0 4: 32-30 30-28 28-29 29-33 
PATH 33 109.0 11.0 4: 12-11 11-8 8-6 6-5 
PATH 34 122.0 8.0 6: 7-6 8-9 9-10 10-19 19-18 18-17 
PATH 35 129.0 4.0 8: 14-13 13-17 17-15 10-15 15-16 16-13 13-12 12-20 
PATH 36 113.0 7.0 2: 20-21 21-23 
PATH 37 119.0 1.0 4: 26-23 23-24 24-20 20-22 
(Note: subsequent required arcs are traversed through their shortest paths)

TOTAL_COST = 4282.0

