-------------------
INSTANCE ATTRIBUTES
-------------------
NAME: egl-s4-C.ocarp
VEHICLES: 35
CAPACITY: 120
NODES: 140
EDGES: 190
REQUIRED_EDGES: 190
<NODE1> <NODE2> <REQ> <COST> <DEMAND>
PATH 12 139.0 1.0 5: 21-20 20-12 13-17 17-18 17-15 
PATH 13 185.0 0.0 6: 10-15 15-16 16-13 13-14 11-8 6-7 
PATH 14 119.0 1.0 6: 5-6 6-8 8-9 9-10 10-19 19-18 
PATH 15 126.0 0.0 5: 13-12 12-11 11-27 28-30 30-32 
PATH 16 120.0 0.0 4: 30-31 31-26 26-25 25-27 
PATH 17 133.0 0.0 5: 27-28 28-29 29-33 139-48 48-50 
PATH 18 128.0 0.0 8: 49-48 50-51 51-52 52-53 53-140 140-54 54-55 55-56 
PATH 19 139.0 0.0 5: 64-65 65-56 56-57 57-58 69-71 
PATH 20 120.0 0.0 5: 71-75 75-76 76-77 77-78 78-79 
PATH 21 138.0 0.0 9: 81-79 79-80 80-82 83-84 84-85 85-86 86-87 87-122 121-120 
PATH 22 145.0 1.0 6: 1-116 115-116 116-117 2-117 117-115 115-114 
PATH 23 120.0 0.0 4: 114-113 113-103 103-91 91-118 
PATH 24 119.0 1.0 4: 118-117 117-119 119-120 120-123 
PATH 25 120.0 0.0 3: 91-66 66-62 62-57 
PATH 26 130.0 0.0 8: 72-74 74-76 77-46 46-43 43-37 37-36 36-35 35-37 
PATH 27 133.0 1.0 6: 37-42 42-43 43-44 45-34 34-139 139-33 
PATH 28 124.0 0.0 5: 34-35 36-38 38-39 39-40 40-41 
PATH 29 124.0 0.0 4: 38-41 41-47 42-47 47-46 
PATH 30 124.0 0.0 6: 73-72 72-71 71-70 70-69 67-68 68-90 
PATH 31 120.0 0.0 7: 86-88 88-89 89-92 92-82 82-83 83-81 81-80 
PATH 32 171.0 0.0 6: 82-84 84-92 88-90 90-91 103-102 102-101 
PATH 33 150.0 0.0 6: 101-66 66-67 67-69 74-73 73-44 44-45 
PATH 34 134.0 1.0 6: 59-60 45-60 60-61 61-49 49-140 140-55 
PATH 35 119.0 1.0 4: 22-20 20-24 24-23 23-26 
(Note: subsequent required arcs are traversed through their shortest paths)

TOTAL_COST = 4971.0

